label,sentence
-1,hear game gonna
1,leg break hope
-1,summer hear day check def
-1,eye lol xoxo
1,happen week bed head headache
-1,watch pass car
-1,kick day gonna
1,weekend week hour sleep
1,time join lose
1,lake home pass miss remember
1,king day camp miss island friend
1,fun haha
1,day choice award vote gotta
1,miss guy gonna
1,hey tweet tom haha
-1,waste time
-1,ride gonna
1,move house stuff
1,award hope germany
-1,start time
-1,girl realize
1,sunday party tweet lol til suck cuz speak sport
1,hate song
-1,bitch lol dont mess notice
1,goin feel bed drink
1,mine miss friend love mark
-1,car road
-1,week job finish
1,die cry lol gonna write
1,happen hurt eye cry throat
-1,time ball
1,sell day http plant close
-1,day dress win guess love
-1,chocolate milk time yesterday
1,girl walk gonna lady tomorrow leg
-1,feel visit bit
1,girl life time friend boyfriend
1,month couple
-1,gotta call nite
1,realize night message send train
-1,day breakfast spa gym finish
1,summer tour school pay money
-1,sun catch week day shine office worth
-1,eat brother tweet bed
-1,cook wait hahaha party gonna friend
1,week vacation project
1,girl suck wait guy lol school beat
-1,start blog
-1,song play gonna
1,fit day hour people
1,head gonna
-1,tonight friday follow tomorrow schedule
-1,happen lol pay hotel check
-1,day father dad
-1,day fun gym exercise
1,rain night ruin tomorrow pack
1,time account download twitter upload mail cos send
1,summer kid miss school class
1,youtube guy stuff job
1,tonight til pool wait play finish dont
-1,email hey hope friend picture wine enjoy
1,hour nap
1,box lol ticket seat
1,http guess myloc
1,tonight day tomorrow send
1,hear read guess guy blog
1,house guy people call couple
1,start sleep haha season
-1,tomorrow tho
-1,leave drink guess car
1,friday night water thinking dad
-1,move time city
-1,rest day love cross finger month
-1,race win
1,lay bed
1,walk stop dog
-1,page love
-1,laptop miss drive check
-1,peep day lol people visit
1,museum night brother home jona
-1,reason time answer fave question
1,bring weekend day lol hotel
1,world change people yeah learn
-1,hour day ride bike
1,call yeah
1,walk stop
-1,album jonasbrothers guy love create mail
-1,happen fall
1,version song
-1,time mom love
1,drink haha song sing kiss
1,eat burger taste
-1,til stay sleep tomorrow reading book finish
-1,block tweet morning
-1,yep time house waffle stuff miss bet donniewahlberg
-1,win tweet
1,weekend day damn god
-1,word spread hope
1,weekend week suck time aww
1,pic http bit aww
1,realize start school
1,sit computer morning leg cuz
-1,happen time feel mom
-1,hair wear gonna morning
-1,hour day twitter night tomorrow remind
-1,lil guy walk eat sandwich pasta
-1,bring start memory tomorrow fix hurt bike ride
1,realize watch video cuz
1,mother miss
1,happen life break sit news
1,yesterday feel crap throat
-1,week day breakfast hang morning store fam sunshine
-1,pic post
1,hate home lol forget window
-1,day smile donniewahlberg
1,fun lol people call
1,rain weather
-1,stop feel fun people learn
-1,day ton yeah love post
-1,day pass night
-1,friend love
1,move suck
1,awww haha shopping food bed
1,ass pain
-1,sister week day wait york island
-1,day start woohoo lot
1,yay til day wait lol boo
1,guy donniewahlberg
-1,life lol bit atm hmm
1,time rain watch ruin
1,upload video
-1,bus stop
-1,watch season
1,start stop lol act
1,wine week time run
-1,breakfast eat play
1,yay weekend suppose
-1,blip http love angel art
1,idea feel twitter site mom sign blackberry
-1,son time enjoy
-1,marry love night call dinner
1,bank holiday suck car
-1,wow tomorrow
-1,force night hour gonna sleep haha
-1,summer family meet hope love
-1,baby hour mom night sleep
1,omg die car school friend accident
1,fix day guy internet omg
-1,night xxx
-1,start friend
1,hour stuff lol church friend trip post
1,watch yea moon feel drop trailer
-1,move kid http blip kick ass play
1,house day tweet excite
-1,listen twitter love round joe
-1,world tweet night people haha morning
1,feel coz
-1,followfriday tweet book love kevin
-1,move lol check dancing
-1,house god head night gonna
1,hey lose weight
-1,drive call
-1,time buy fun
1,day swim
-1,tonight night tomorrow ass
1,computer hope lot drive kill
-1,mind day time watch gonna sleep spend
1,family week vacation pay
1,person morning
-1,suppose haha
1,half love clothes wear ahhh
-1,listen stop guess
1,live hey
1,realize month
1,shit hate feel wear
-1,day wait mother night park church movie tomorrow
-1,move week house time wait join fly remember
-1,rest house stuff cleaning movie
1,haha tho
-1,girl http love tho tomfelton size
-1,star trek
1,move class
-1,time http remind people
1,family hate wake dream die cry
-1,care love boo upload trip gettin
-1,idea morning window
-1,album http bit
1,battery phone iphone
-1,mine lol reason stay join club bet tired
1,eye cry people
-1,tweet post
1,move lol hope friend haha run youre reply message
-1,week day gosh
1,day ass guess training tomorrow
-1,day twitter rock
-1,tweet guy
1,science school exam wait
-1,grandma love visit morning sleep
1,answer hope
1,hate math lol tomorrow finish assignment
1,walk dinner fish chip
1,errand run weekend shopping stop drink grocery
-1,meet call
1,youtube watch guess
1,hurt lol knee website
-1,ppl follow cuz bore
-1,wedding friend
1,weekend game miss lose finish
1,day stuff agree
-1,cover http lol head fly
-1,walk eat
-1,gain lose
1,tonight conan watch miss minute leno
-1,news bit movie
1,life miss food
1,dream time night lol hell kiss tired
1,dream time station
1,speak miss enjoy event
-1,brand http
-1,lunch eat rice
-1,join club
1,wius play die xbox lot
-1,watch http wear
-1,game cup guy stanley cuz
1,reply xxx question
1,house watch stay home feeling marathon
1,twitter lol school tomorrow
-1,world twitter lol universe vote
-1,sun hope
-1,life change
-1,follow list tweet
-1,race hope wow http sit road
-1,girl lol story feeling
-1,car call stick
-1,life eye song head theme pop
1,bottle water
1,touch phone hope support
-1,ppl talk lol stop babe
1,fail wait
1,bike ride
-1,pool love grad school gotta haha finish test
-1,hahaha time wait people
1,move stuff feel shop
-1,meet fun guy lol
-1,summer live day check
-1,blog leave message
1,tonight band break
-1,shit lol cool piss continue drive
1,internet connection
1,mileycyrus day school cuz
1,wait tho
1,meet time chance
-1,run money people
-1,blah day suck damn fun guy night
1,sound fun event
1,lie day bed pain headache sooo
1,weekend hour day bit tho mum relaxing
-1,day gonna
1,money phone mitchelmusso mitchel
-1,reason people life enjoy
1,suck time miss
1,house wait lol kill joke
-1,care kid haha
1,hair lol
-1,airport wait head home start breakfast eat finish packing
1,didnt feel hope confuse twitter wait hospital play
-1,follower http twitter friend gonna
-1,happen leave guy
-1,shopping day night theater town hope
1,chapter finish week revise forget
-1,happen lol type
-1,tonight plan pack sleep sound idea
-1,rent movie film love
-1,god song write
1,day miss hope cuz
1,day team head challenge gym step morning
-1,dawn break
1,life week http twitter goin
1,game play sim break
1,ipod run forget
1,bring home tea cup
1,day camp manage class break tomorrow
1,london train
1,lil feel deal
1,day feel break
1,hour watch boy call movie kinda fav
-1,tweet month
-1,day lake blog tomorrow
1,family flight people friend france air love text
1,monday hate day start lol round
1,swift taylor feel twitter post
-1,series episode watch grow
1,move start miss run crap wont
-1,buy feel win
-1,hair hour cut watch fun bed dad twilight
-1,hour yesterday lol gym morning nose tweeter blow
1,phone twitter sleep manage
-1,sun house day book read finish call site blog
1,hate music love video
1,bout gotta sleep job lay
-1,hour wait sleep
1,rain weather
-1,word hey time tomfelton http spread vote votetom bit
1,hit start guy rock
-1,wait hope sleep rock
1,happen follow leave lol join
1,haha wake
-1,sleep foot stick
1,live life http bit google wave
-1,mileycyrus miley http love btw
-1,page leave http twitter check link hope list
-1,family time enjoy friend love spend water travel fly
-1,tonight jay watch heart leno david
-1,game friend
-1,xoxo day miss morning book page twitter
1,baby family tweet people picture
-1,baby lol wake daddy plan bus
-1,day wow glass
1,weather guy hope
1,live weekend city
-1,monday miss school gonna grade head
-1,weekend house day memorial bday dad celebrate
-1,review book week finish
-1,peace love chill watch fun guitar
-1,hour night
-1,singing lol dancing
-1,miss fly
-1,tomorrow tho
1,eye feel
-1,friday head drink
1,day suck count search
-1,pay night lol hope england cuz
-1,party lol laker
-1,cream ice tweet guy
-1,time text myspace message update send
1,realize start
1,move suck dad tho
1,stay people
1,nightmare wake sound fun trip
1,pain stomach
-1,answer call tomorrow promise
-1,tonight wedding excite night dancing
-1,sun beach sit
1,http jonasbrothers bit
-1,tweet play post
-1,sense humor
-1,life love son air
1,hour follow computer
-1,pack tomorrow break finish
1,monday life morning hear
-1,lil day home bit fun tan
1,girl lol morning
-1,reply gonna
1,start time fun home
1,eye haha hey hehe
-1,fish eat pie song sing
-1,yay school haha wake
-1,sit lol mmm tan
-1,miss guess twitter
-1,hit lol call email mtv
-1,yesterday stay evening hotel
-1,live enjoy fun
-1,game ticket tomorrow
-1,fail lol love
1,shit hour game test
-1,background change
1,weekend week day lol holiday ohh
1,house watch match
-1,day brand time sleep tomorrow
1,plz http start account ugh add
1,rest weekend enjoy friend morning coffee game son
-1,rest friend ppl pick myspace
-1,bbq night invite
-1,tuesday monday gonna feel bed boy
1,life wow kid omg miss
-1,start blog love inspire
-1,run food guy night lol company
-1,tune stay happen week feel night manage
-1,track listen night
-1,wife home evening news
1,hell night
-1,run fun remember
-1,weekend suppose
-1,swift taylor love saturday concert
-1,talk listen night lol
1,salad eat lunch breakfast lol pasta hmm
-1,hit watch guy lol movie hmmm ton
-1,follower pay day vip add train
1,weekend hey week suck yesterday ride
-1,start time
-1,hear meet day wait land jonathanrknight
1,tonight hill mtv miss sound
1,rest love
1,tonight day fun hope gonna tomorrow
1,pick leave phone miss ring
1,macbook pro
1,rest life day driver row
-1,girl love toy story fave
-1,tonight forget rock
-1,phone tomorrow post
1,shit phone gonna computer lose
1,sunday world people sleep morning notice
-1,catch lol love break
-1,lunch food
-1,board time plane airport sleep fly plan
1,phone school
-1,hug love movie
-1,wait home film
-1,luv lol talk follow twitter
1,book pick
1,eye day morning tomorrow rain school
-1,hear twitter sign
1,article read
1,time stuff stay night bed mood
-1,tonight sunday house stop home cousin
1,baby night friend movie friday
1,day pie bed epic
-1,flu day swine
-1,coast west
-1,tonight evening night love
-1,follower pay day vip add train
1,suck fun
1,hour fun
1,hour trip
-1,cut hope account
-1,tonight family day time dinner bath pizza
-1,friday day weather love degree spring
1,start class
1,girl week lol
1,bring leave lol
-1,hair cut
1,ear infection hug tomorrow
-1,wow lol call build
1,start brother school
-1,week head night middle
-1,day tomorrow
1,twitter upload picture
-1,wait http moon write message
-1,figure play guitar
-1,weekend feeling fun lol haha
-1,life people
-1,walk people talk
-1,town friend http tweet movie
1,didnt feel church gonna morning
-1,baby meet hate omg hold
-1,day coffee drinking eat job haha
1,listen radio
-1,dude hear fall
1,http car trip break road
1,leave friend
-1,baby play pay
1,time bus pray fall hope seat
-1,saturday feel morning hangover trend topic
1,coffee shop
-1,boy morning drive
-1,luv day hope hurt cry friend
1,talk plan phone friend
-1,people love
1,dont phone twitter update post
-1,book write
-1,house brother friend club
-1,week hope xxx
-1,ipod day listen
1,allergy day feel photo love
1,tonight decide guy night hang aww
1,wasnt lol car drive accident tho
-1,yay friday day
-1,student college wind day week
1,happen call minute
-1,family drive movie star trek listen music
1,jump time arm weekend sleep
1,hate feeling feel
1,hair rain walk break umbrella
1,day choice forget morning
-1,wow read watch miss
1,tea drink feel throw twitter
-1,dance music people
1,move head drop
-1,stuff omg school
-1,block day love
1,day hurt miss lay sleep
-1,follower pay day vip add train
-1,day eat sleep haha pizza
-1,hear hey brother miss play band
1,time bet lol
1,realize day miss people tomorrow dont
-1,tooth pain dentist night break
-1,miss head
-1,rest day bar
1,math exam
1,baby feel feeling enjoy
1,afternoon feel home check bit
1,walk week news
1,happen night
-1,http feel love
-1,button press
-1,reply question
1,sigh day tomorrow road trip
-1,day enjoy weather friend offer
1,share time love life heart
1,junk food
-1,msg send
-1,call remember
-1,time kid yesterday money
1,coffee cup
1,pick home food
-1,time iphone app
1,carradine david
1,hate hour day time leave dog
1,day time ring news
-1,boy wait fun join
1,hate people
1,cross finger
-1,summer happen rain wait fun night car pour wash tho
1,realize weekend run
-1,sun rain head hang
-1,ppl guy chance
-1,time weather month play love football
-1,shower day start picture
-1,day mother forget
1,shit week time fuck job blow
-1,tuesday day morning meeting stuff june
-1,yesterday http friend dinner
-1,channel video enjoy hope
-1,realize time sister cream ice cousin
1,live day hit road note
1,mind feel gonna
1,coffee drinking home run
-1,follow watch update fight
-1,fan tweet haha house
1,awww lol nut
-1,live time box office
-1,star trek watch
-1,lol haha wake morning
1,tonight suppose head night bed hope sleep
-1,follow game song love video
1,dream feel god cuz
-1,hate home drive love sam
1,weekend sit weather computer
1,city wait eat wanna finish cake assignment
-1,hey follow twitter check
-1,day cos love
-1,tonight feeling
-1,drink food
-1,miss play break
-1,day night
-1,house morning
-1,figure watch lol gonna butt bye
1,yay day shift coffee money agree stomach
1,hug love read luck
-1,time boy daughter
-1,hear news
-1,meet boy
-1,chance feel love
-1,meet night website check rock
-1,tweet lol
1,hate feel
-1,hour decide college bed class love tomorrow
1,week school write poem
1,crack day drag tooth minute folk
1,starbuck day stay drive call write
1,summer day start school break minute
1,pick stuff fun suck
-1,follow twitter people love spread
1,hear talk break
1,move stuff leave
1,wait food tho
-1,baby hurt home kiss cuz foot babe lay
1,time wait
1,move day wait mom woot laundry
-1,review http love trip
1,episode season finale
1,field day people hang
-1,hear watch
1,summer day camp time run clothes lunch lay
-1,friend comment
-1,start food
1,day time crap call mention
-1,boy wake
1,shit week
-1,catch fun wow
-1,family day plan spend change
-1,time music wake morning
-1,watch class
-1,hair cut bit
-1,wine bottle watch love bgt hope
1,wait tweet love germany
-1,follower pay day vip add train
-1,life friday suck
1,day miss
1,weekend fam
1,arm time house watch miss sleep tomorrow
1,suck money miss guess kinda
-1,watch moon trailer haha birthday
1,time eat food cry feed
-1,tonight call
-1,follower pay day vip add train
-1,follower pay day vip add train
-1,blast lol
1,day sit picnic unus people
1,phone message
-1,lol country friend fav yeah
-1,talk week link
-1,life school grade
-1,worry haha enjoy sunshine
1,baby mother morning
1,day follow
-1,summer enjoy june school
1,space lol bed
-1,walk life mom fun night lot tom
-1,run stuff
-1,fail hate math lol boo fun revise xxx
-1,love video
1,bike ride
-1,lautner taylor http lol agree
1,dream leave love
1,dog miss guess trend topic
1,meet fun
1,wait job
1,summer day fall
-1,listen version song archuleta david
1,tonight walk feel bit dog
1,happen time change twitter wont
1,happen hate night lol heart write story
1,wtf miss leave window home
-1,celebrate birthday
-1,day time morrow art hope
1,hour night gym headache gonna sleep tho
-1,tonight lose love diversity bgt
-1,alarm wake
-1,hope notice season burn
-1,party http theme
1,ipod die morning guess drop
-1,listen song love myspace
1,happen wait people love myspace person
-1,live lot
1,realize week month
1,day idea guess mix class
-1,aww suck time worry cancel
1,peep night reason tomorrow school
1,realize lol mine yeah
-1,hug lol lot woman omg joke promise
1,dog home visit
-1,baby hey talk feel hope bit haha
-1,thursday miss hour home
-1,party twitter forget
-1,fun project
1,dream guy chance
-1,jason mraz
-1,confuse twitter lol hey reply list
1,feel mom wanna bed stomach
1,page twitter friend
1,hour computer mom wanna twitter school tomorrow
-1,brother mom dad
-1,week stop guess haha yea
-1,day hope trip
-1,fan message
-1,watch eat food guy burger
-1,move summer stuff head month home
-1,house leave
1,page follow home update stop
1,meeting time change person remember
-1,baby eat lol hope love feeling
-1,blip http song love btw chicken
-1,hell lot play learn send
1,hug send cross finger
1,money miss friend message
-1,flickr http design check
1,tonight run stuff fall errand
1,ignore lol bye
1,day bed gonna nite tomorrow
-1,party sit lol friend
1,talk head home bit bus
-1,enjoy night hope vacation
1,mileycyrus live award vote choice
1,baby guess
-1,thunder storm
1,time gosh
1,life eat
1,house die
-1,hey chance tweet
-1,walk bed
1,freak love soo guy
-1,weekend morning office pay bill
1,hear suck run
-1,life people
-1,miss lol people haha lot
-1,coffee http bean join wear
-1,follower pay day vip add train
-1,hey check hope send
-1,addict twitter feel
-1,family cousin
1,suppose start time sort parent
1,job friend lose send
1,coast west son miss ice beat http blip fave
-1,catch time write
1,bring feel
-1,happen hear
1,shoot time omg cousin
-1,bye hope play kiss
1,tonight game lose hockey
1,field day june month bday
-1,tuesday gonna prob class cuz tho
-1,star gonna check call tomorrow
1,fix day hope care hurt person
-1,mtv award lol manage
-1,friday time dress listen cry cos
1,contact phone machine wash lose
1,live happen watch lose match
-1,yay day home tomorrow saturday build nephew
-1,vid youtube
-1,track http buy car bit list
-1,cli http day send
-1,http vote guy twitter bit universe
1,hour phone tweet sleep
-1,hehe lol guy update taylor
1,reason feel night lol story chick
-1,follower pay day vip add train
-1,lol hope
-1,puppy dog
1,stop home ugh
-1,move furniture talk
-1,day worry head lay person sleep mail
1,yay baby girl week rain wait june bday
1,hour wake cuz
1,thursday day listen
-1,sunday plan lol clothes
-1,time http play ustre
-1,hear wait song visit
-1,watch idea phone love
-1,time wait tweet
-1,issue twitter world message send
1,house bore
-1,tonight watch season hahaha reason
-1,week school
1,weekend hear day wedding
1,feel sleep wake
-1,fan lol love front sit watchin weather xxx
1,time haha yeah
1,star trek movie theater
1,miss lol play
-1,ddlovato fan
-1,time moment kinda date
1,til monday aim talk yeah
1,month car tire
-1,flight love roll rock
1,twitter notice
-1,book start read home
1,omg cry break prison
-1,happen feel twitter lol book
1,shift day idea job kill
1,twitter notice
1,fail day load
-1,texa miss time town follow
1,kid guess
-1,contact phone message send
1,hmmm guess tomorrow finish
-1,tonight conan boy
-1,happen follow twitter people
1,hehe wait haha coz
1,live dont buy lol shirt change youre
1,ear infection
-1,run drive
-1,music love
-1,party weekend time
1,friday weather degree
-1,follower pay day vip add train
-1,mouth shut
1,lol beat
1,week hour leave
-1,happen play weather
1,dude twitter page myspace click
1,stop money spend
1,feel hope
-1,follower follow spam morning chat
-1,dream night bed gonna sleep
-1,summer listen lol track remember
1,time crap test
1,lunch wait eat
1,book read sit desk
1,hug feel hope cat lose
1,weekend enjoy weather
1,pool feel god
1,friday sit leave head wedding cousin idea stop
1,hit day feel sleep bug stomach
1,read tweet lol
1,week luck
1,ddlovato album wait reply rock love
-1,plan mom
1,party weekend kid book
-1,run computer sim
-1,contact info chat love download
1,hour twitter iphone post
1,catch week fun home wedding world pack
-1,hey http lol person update twurl
1,house guess
1,hair cut miss
-1,run play park concert
1,tonight life kid leave twitter
1,kid buy dad bag
-1,track time week create log experience
-1,hate drive nut
1,friday time night
-1,life time buy feel
-1,leave god tho
-1,street day sunday kick apple
-1,meet night
-1,follow watch match
-1,cross finger job interview
-1,ride gonna friend bit
1,swear time fan beat
-1,book love teacher song joeymcintyre
-1,apple iphone store friday watch miss
-1,site http feel
1,tummy ache hour sleep wake
1,didnt guy run
1,cover day run world question
1,hear wake
1,leave twitter hope comment sign
-1,crush lol dude miss
1,people person
-1,weekend watch bit film
1,internet haha chat feel dad
-1,wait shirt gonna
1,day lose send
-1,week hour time person sleep
1,crap night sleep revise exam
-1,bite eat run mom movie yeah
-1,sun day stuff shine morning write
-1,archuleta david
-1,aim talk tomorrow
-1,awww feel lol hey lay dnt hav
1,share day
-1,pic follow post plz
-1,wow feel twitter gonna
1,realize tweet account send
-1,mileycyrus fan miley friend love twitter
1,girl hope
-1,decide love sound voice
-1,mom hope dad love
-1,house eat dinner
1,phone post
-1,day brother play birthday wius
1,rest day bed tomorrow afford
1,issue fix day computer miss call
1,baby hate leave morning
1,lol air tune stay date lot idk
-1,monday week day gonna prepare
1,baby time month
1,lunch food
-1,pay movie
1,follow person
-1,hate food fun night taste couple
1,move girl live house
1,hospital home send
-1,http enjoy feel add hand bit music video throw
1,family time miss tweet lol run
-1,hour game guess haha joke
1,ahaha lol shirt
1,world cup
-1,song haha
1,party fun gotta nite fill
1,listen feel
-1,yay day miss call walk office kinda
1,tonight fall lose
-1,blip http listen dance country
1,pay week check write
1,family people sale yard idea
1,time guess dvd trip mac burn
1,game download break month couple
1,hit hear time miss friend touch
-1,hour read story
-1,follow twitter
-1,miss tweet
-1,book watch hope movie
1,day suck beer
-1,yay day birthday jonasbrothers
-1,beach lol city add guess vacation
-1,wife love cat husband kiss
-1,blog http night friend post project
-1,watch game mom play love daughter memory
1,summer hour school class fail
-1,day feel month gotta lot
-1,tonight watch chuck
1,kid job
1,move apartment stuff
1,til hour wait feel freak
1,tonight brother
1,pic love hug dog vote doesnt
-1,race run
-1,family girl talk watch feel guy omg
1,moment miss home
-1,leave god exam
1,friday miss exam tomorrow gunna media lesson
-1,sunday life twitter love choose deal ball throw
1,goin bout day bed call imma nite tha
1,http sleep btw nap
1,happen party
1,guess lose dad
1,guess twitter wont upload photo
-1,live day haha yeah
-1,sense humor
-1,followfriday tweet book read
-1,rest girl night cuz
1,cell phone month sprint
1,hair love taylor
1,stuff stop people play sim
1,summer day time miss tomorrow homework
-1,cover http song hey bit
1,load miss night love picture
-1,mileycyrus miley wait http hope germany
1,sunday start night tomorrow email hey hear lady
1,sit night
1,sit lunch wait class
1,time head night friend
-1,lol post
-1,live life hour stuff miss
-1,sunday fun nkotb guy birthday
-1,understand people stop
-1,sun day night suppose call job mon luck
1,hate online watch wait minute fuck streaming season
-1,weekend house hour day home lol yard
-1,week day wear record pants
-1,day enjoy list music video
1,meet watch video
-1,thursday time pick game
1,tonight day suck gym
-1,time drop
1,text twitter pray home iphone lose fly
-1,book movie
1,talk ugh feel guy
-1,start read tweet
-1,sun walk tomorrow lose pay date
1,kinda sleep play
1,arm hurt leg ass cry tho enjoy weather
1,meet guy people
1,mom love write
-1,omg miss
-1,book amazon read buy site
1,wedding watch grow sing movie
-1,day listen people person haha
-1,yay omg
-1,day load hahah movie
1,ppl http idea country advertisement
1,dont guess sit
-1,follower pay day vip add train
1,time pain
1,move house leave clean
-1,girl laugh lol school monday swear math pass
1,hate wait feel home sleep
-1,wait break
1,figure day gonna facebook nap
1,call yeah wake
1,cheese mac
-1,day watchin game win lol hope
1,baby start month sound
1,parking car lot
-1,monday wait sister win tour ticket
-1,blast home night hang
1,isnt day phone ring wont
1,girl sit damn feel beat
1,guy lol luck beat wat
-1,baby lol love money btw class
-1,happen month
1,weekend gotta lol sleep aint
1,hate day wanna bed school gonna tomorrow
-1,hehe song boy
-1,watch eat video
1,series watch lose
-1,day night rock
1,yesterday leave drink beer
1,hour count twitter fam wit
-1,suck ball money night spend
1,hurt hell school
-1,pick people bed
-1,watchin love food child
1,pic night wow kill fly
-1,day plan
-1,buy game wanna ticket lose send laker
1,scare night home drive bit tomorrow
1,arm day list
-1,bring house clean
1,thunder storm time computer shut
1,nightmare wake fall minute alarm
1,laptop time screen break fall
-1,party friday throw surprise tomorrow city
1,hell school
-1,leave month
1,til lol haha son wit break
-1,stuff guy people stick
-1,life lose break tomorrow
-1,tonight watch god finish wing
1,cool day math luck test
-1,http fun month bit lot
1,head hold movie
-1,catch time lose figure nyc
-1,fix lol friend
-1,follower pay day vip add train
1,shower home kid
-1,taste love music
1,day night sleep
-1,hair hahaha start cut cream ice
1,catch time game traffic
1,cook lol breakfast agree
-1,head hand
-1,watch wanna sleep
1,live happen http lol ustre chat jona
-1,watch eat night
-1,morning sunshine
-1,thursday night http body
-1,tonight monday miss friend mine june nyc
-1,reason people lady
-1,june event
-1,woo hoo day lol love brother cake birthday
-1,midnight day kid energy school mention
1,tummy hurt
-1,girl shopping day love
1,day twitter
-1,follower pay day vip add train
-1,pic twitter lol upload computer
1,call hang
1,fan tweet guy hope
1,pic post
1,til monday leave school office
-1,shopping time tomorrow town
-1,rest stop drive
1,phone update send
1,bak lol facebook guess break news
-1,afternoon feel lol company haha
1,omg gonna
-1,day start sound night tomorrow
1,lie time god
1,kid lot
1,palm day brand wife wait hand
1,care guy hour damn stuff
-1,party friday mom
1,awww time meet chance wedding
-1,hair day die tomorrow laptop birthday
-1,girl dance song lol lady wedding nite
-1,week mess sleep
-1,arm lol
-1,move talk guess
-1,grade school hope daughter
1,gotta sleep tomorrow goodnight
-1,life pay talk wow fun kill
-1,bit lot
-1,day game hand gonna wius mario
-1,family day stuff head aunt
-1,day time tweet hope love morning
1,listen leave guess music sleep
1,diet start news
-1,buy leave home hope church body
1,meet hope
-1,girl friday night didnt
-1,business people
-1,bitch night guess
-1,mouth lol throw love
-1,pic stuff send
1,week kid miss vacation wife
-1,day stay hospital
1,hour fuck lol line
-1,weekend day wow
1,hate school learn
-1,king burger
-1,hour kid eat guess dinner wife
-1,live night call music ass fall
1,guess hope
-1,ppl friend party
1,time guy hope
1,stop cry
1,hate http heart myloc
-1,read post
-1,sell stuff ebay people
-1,people send
1,http bit video comment
-1,tonight hey night
1,rest hope awww
-1,rest start stop sleep body
1,wait haha line post office
-1,read tomorrow
1,load watch miss mother record apprentice kill
1,luv miss love house hour waffle guy joeymcintyre
1,monday job news
1,leave bit throw
-1,start follow gonna
-1,girl time leave call service
1,stuff morning afternoon nap
1,damn hope wee bit class
1,drop home night trip hang tomorrow
1,feel miss heart love
-1,sell guy hour spend
-1,hell home night sleep lot
-1,job god guy night
-1,song jona write love joe
1,lol notice post
-1,city friend game video
1,stay weather bed
-1,word day watch film news
-1,yay song god write
-1,scare lol crap ring guy mail
1,talk hour hang
1,figure twitter friend
-1,sit garden beer
1,bring http bit hit check
-1,house sound food smell morning
1,shit time food store grocery
1,guess night nite
-1,meet yesterday
-1,house play friend game
1,net http game fun check
1,weekend lol haha wasnt bout date
-1,follow btw
-1,contest http vote
1,pay money tomorrow internet connection
-1,day relax
1,hate wait tomorrow pass
-1,mine wait drink
-1,buddah twitterverse
1,walk life start love
1,day deal cancer friend matter
1,life hear feel haha
-1,catch feel morning care
-1,life day world guy love bbq
-1,tonight guy hope picture
1,didnt day front
1,twitter client iphone
-1,fail watch epic video
-1,summer party hour jam head home night drink
